rating,date,coment_title,coment_description
5,17 julio 2017,"Genial, y vista exelente.","Un buen tour desde Puno, económico... en el lugar se pueden adquirir souvenir a muy buen precio, mejores que en la ciudad. El tour puede durar unas 4 horas ida y vuelta; recomendable en ir en la tarde después del almuerzo, ya que el sol baja y hay menos personas para tomar fotos."
4,16 julio 2017,Muy tradicional,"Llegas a Puno con la unica ilusion de navegar en el lago Titicaca y de repente la ciudad te sorprende con un lugar magico llamado Sillustani, lleno de ruinas arqueologicas, leyendas magicas y personas magicas herederas de una gran civilizacion que no tienen inconveniente en maravillarte con sus historias y tomar lindas fotos. Definitivamente vale la pena, recuerda llevar un buen abrigo por que la brisa es fuerte y fria."
5,9 julio 2017,Lugar mágico ,Un lugar mágico entre puno y juliaca. Recomiendo ir en la tarde porque no encontré mucha gente. Una parada infaltable para visitar.
4,6 julio 2017,Un lugar sorprendente,"Este lugar está enfocado ala ceremonia fúnebre se refiere a los cementerios
La vista desde la cima es muy bonita"
5,4 julio 2017,Impresionante vista,"Tomé el tour cerca de la plaza de armas, el costo fue de S/.40.00 por persona mi hija de 5 años pagó S/.25.00, nos recogieron del hotel a las 2pm y nos llevaron al lugar, se viaja aproximadamente 20 minuto. Ya en el punto caminos media a cuarenta minutos cuesta arriba, se demora porque hay paradas en el camino dónde te explican la historia del cementerio, de las torres funerarias, etc. Una vez arriba vez un paisaje impresionante del lago Umayo, se siente tanta paz, lo recomiendo mucho, yo viajé con mi hija, la altura no le chocó porque le di gravol antes de subir, en el mes de julio ir bien abrigados, al promediar las 5pm empieza los vientos muy fuertes y helados."
4,30 junio 2017,Morada eterna de los Hijos del Sol.,"El Complejo arqueológico de Sillustani es un lugar obligatorio si estas de visita por Puno en busqueda de historia y naturaleza, sus majestuosas tumbas pertenecientes a la cultura Kolla (1200 - 1450) constituyen su principal atractivo, así como la vista al lago Umayo. Recomendable ir de mañana y con una buena camara fotográfica."
5,30 junio 2017,"Paz, paz y paz...","Al igual que la visita al lago, este lugar te llena de paz, tranquilidad y la buena vibra de la gente que vive ahi."
5,28 junio 2017,Lugar increíble y místico,"El complejo arqueológico de Sillustani tiene unas increíbles vistas junto al lago Umayo, donde pueden verse varias islas donde anidan especies de pájaros. Las chullpas están muy bien conservadas. Por suerte cuando estuve con mi grupo no habían demasiados turistas, lo que le otorga un cierto encanto al lugar.Diariamente salen buses a Sillustani desde Puno a las 14.30 horas por unos S/ 30, dejando a los visitantes una hora en las chullpas. Una opción más económica es tomar buses que van a Juliaca (S/ 5) y pedir que les bajen en la bifurcación a Sillustani.El lugar merece la pena."
3,22 junio 2017,Decepcionante,"Llegamos echándose la noche y la visita no fue muy agradable ya que la bajada la tuvimos que hacer de noche
Imagino que en otras condiciones hubiera tenido otra percepcion"
5,19 junio 2017,No puedes perdertelo!,"He visitado varias cosas en Puno, pero esta fue mi favorita.Es un centro arqueológico que se encuentra como 40 minutos de Puno en auto.Yo tomé un tour. Me costó 30 soles (cada adulto y 15 mi hijo de 9 años) y duro casi 3 horas.La guía turística fue muy amable y nos explico que los monumentos eran tumbas y que se había encontrado desde 1 persona en la torre principal hasta 34 cuerpos en una tumba corriente.Se cree que era a partir del rango o lo importante de la persona la cantidad de cuerpos con los que los sepultaban.También encontraron oro Inca y están en el museo de Puno.Está a 4.000 metros de altura, así que caminen lento, lleven agua y ropa especial para el viento, ya que corre mucho arriba.Yo subí con 7 meses de embarazo y pude subir despacito. Además subí junto a mi esposo e hijo de 9 años. Con esto les quiero decir, que cansa subir por la altura, pero se puede.También hay artesanía para comprar a la gente local. Y ocupar el baño cuesta 1 sol.Puedes ver el lago umayo que es realmente hermoso.Es a mi gusto, lo que más me ha gustado de Puno."
4,16 junio 2017,Un sitio arqueológico con atardeceres espectaculares ,Este sitio arqueológico tiene una vista excepcional y paisajes únicos a parte que es los habitantes que habitaron esa zona son pre incas además las construcciones están impresionantes el costo es de 25 soles y si van en invierno es recomendable llevarse ropa abrigadora
4,11 junio 2017,"Muy Interesante, preferible al atardecer","Está ubicado a 40 minutos de distancia en auto del centro de la ciudad de Puno, nosotras contratamos una excursión. El lugar me gustó mucho, no demasiado turismo. La visita de las chullpas muy interesantes y las vistas con el atardecer del lago del lago Umayo y del paisaje circundante."
4,8 junio 2017,Retorno al Aeropuerto,"De todas maneras si tienes un vuelo al mediodía o 13:00 hrs es recomendable que estés vistandolo aproximadamente a las 11 am, unas vistas geniales super tranquilo las construcciones son buenas y te permiten fotos muy buenas, luego con calma puedes ir al aeropuerto lo recomiendo de salida de Puno por su ubicación. "
5,7 junio 2017,lindo atardecer,"Un lugar maravilloso para las personas que gustan de la naturaleza, se puede observar la puesta del Sol, vicuñas en la isla que esta frente a la península, muy bonito."
4,30 mayo 2017,HISTORIA QUE HABLA,Imponentes restos arqueológicos que hablan por sí mismos y muestran la grandeza de una civilización ancestral
5,28 mayo 2017,Una vista hermosa,"Camino al aeropuerto de Juliaca pasamos a sillustani es un tour de 2 horas aproximadamente que vale la pena hacerlo, en nuestro tour a isla de uros iba incluido, solo checa bien a que hora sale tu vuelo para que puedas llegar con buen tiempo. Sillustani son unas tumbas cilíndricas de la cultura pre-inca con una vista al lago Umayo increíble."
4,27 mayo 2017,Bueno,"Sillustani tiene como mayor atractivo el templo de los Falos, esculturas en piedra de la época Inca representa al miembro genital masculino.Pero lo que más me gusto de este lugar y volvería por eso, es la comida...en la plaza del distrito hay restaurantes que te ofrecen Trucha...la mejor trucha al ajo que probé."
5,19 mayo 2017,Vistas impresionantes,"Está ubicado a 40 minutos de distancia en auto del centro de la ciudad de Puno. Hay que hacer una caminata de subida al lugar donde están las chullpas (y es recomendable llevar ropa abrigada, pues corre mucho viento); y desde allí se tienen excelentes vistas del lago Umayo y del paisaje circundante."
5,30 abril 2017,Recomendable,"El kago cuando vas avanzando y subes es impresionante, con paisajes misticos. Es impirtante ir con paraguas o poncho de agua. Las chulpas estan llenas de historia, contraten guia a la entrada."
5,27 abril 2017,buenaso,es bueno para visitar con los parientes amigos solo en la tarde es de 14:00 p.m a 18:00 p.m es buenaso
5,20 abril 2017, Vale la pena la caminata,"Sillustani esta entre Juliaca y Puno , es muy fácil de llegar se puede tomar un colectivo de Puno a Juliaca o viceversa el pasaje esta S/.3.00 se bajan en el desvío a sillustani de ese punto de toma otro colectivo S/. 3.00 - S/. 4.00 hasta el sitio arqueológico de Sillustani, el ingreso para universitarios esta S/. 5.00 y S/. 10.00 el ingreso general. El recorrido se puede hacer sin guía (no se olviden de pedir su cartilla de ínformacio al ingreso) todo esta muy bien explicado, el recorrido es sencillo solo se complica la subida, es un poco agitada . Recomiendo ir en la mañana para ver mejor el paisaje, yo fui ennla tarde y corría mucho viento y hacia mucho frío. No se olviden que las chillas de sillustani salen en las monedas de colección de 1 nuevo sol. "
5,17 abril 2017,gran vista de la laguna Umayo,"un lugar magico lleno de energia rodeado por una laguna llamado umayo, se dice que este fue un cementerio inca. un lugar lleno de misterios."
5,14 abril 2017,Hermosas vistas.,"Sillustani es un lugar rodeado del lago Umayo, y por las vistas espectaculares del lugar se entiende el por qué fue elegido como lugar de entierro desde la época pre inca. Los transportes turísticos dejan en una parte que se puede decir baja para luego subir una montaña, la caminata toma unos diez minutos en subida. En la parte superior se encuentran las famosas Chullpas pre incas e incas, siendo estás última las mejores por sus diseños y acabados. Desde la parte superior se observa ese paisaje espectacular que no se pueden perder. En el trayecto de la caminata se pueden adquirir artesanías. Eso sí, tienen que llevar protección contra el sol que quema. En horas de la tarde es a mi parecer el mejor momento para acudir y poder apreciar la belleza de un atardecer en ese majestuoso paraje."
5,12 abril 2017,Lugar magico,"Un lugar muy agradable, tranquilo y silencioso como todo cementerio. El lago es de otro planeta quedas loco al verlo."
4,28 marzo 2017,sillustani y sus chullpas,"fui de bicleteada con la agencia INCALAKE desde el desvió a sillustani y fue hermoso fue un dia soleado y llegar hasta las chullpas, conocer un poco de la historia de estas chullpas maravilloso y con una preciosa vista de un pequeño lago muy bonito en el mes de febrero"
4,26 marzo 2017,Torres funerarias (Chullpas),"Están alejadas de Puno, pero pueden visitarse en una excursión de medio día. Se encuentran en unas colinas onduladas del lago Umayo."
5,21 marzo 2017,Impactante,"Recomiendo visitar este sitio en el trayecto desde Juliaca a Puno, al hacerlo ni bien se aterriza no se siente el afecto de la altura aun, ademas asi queda tiempo si uno esta 2 noches alli para hacer la excursion de dia entero a Uros y Taquile, y la tarde de la llegada para descansar y aclimatarse"
5,15 marzo 2017,Sitio Mágico al atardecer,Esta visita es accesible desde Puno y merece la pena una escapada. Vistas preciosas a lagos y sitio arqueológico muy interesante.
5,15 marzo 2017,Increíble ,"Sillustani es un sitio arqueológico, que tiene cementerios donde se pueden ver una serie de impresionantes tumbas pertenecientes a la cultura Kolla. Es un sitio muy lindo para visitar, un imperdible si vas a Puno. Si quieres puedes tomar un tour que sales alrededor de 40 soles o puedes irte por tu cuenta, tomas una combi que va de Puno a Juliaca y te bajas en una intersección donde hay un letrero gigante que dice Sillustani, ahí tomas un taxi que te lleva al sitio arqueológico. Yo lo hice así y me salió todo como 25 soles, son 15 soles de entrada."
5,11 marzo 2017,espectacular,"muy bonita experiencia cerca a una espectacular laguna, el sunset es increíble y mágico, el guía fue muy bueno. Nos vamos muy contentos con la visita."
5,5 marzo 2017,"Adorable, colorido, un lugar de ensueño!!!","Te enamora!!!! desde que tocas sus mágicos juncos!! Su cariño, sonrisas y festival de color te envolverán con su mágica calidez. Un lugar inolvidable y único para disfrutar en armonía y sincronía con la naturaleza."
5,1 marzo 2017,Hermoso lugar,"Recomendable de todas maneras tienen que visitarlo, fui con mi niña de 2 años y no tuvimos problemas se camina pero no mucho..hay estacionamiento y si van con carro propio aprovechen en hacer el Tour vivencial..en el desvio para entrar a Sillustani hay casas donde las familias esperan recibirlos, les muestran sus telares, les hacen probar los diferentes tipos de papas, etc...linda experiencia.."
5,1 marzo 2017,Espectacular,"Se puede ir con un agente de turismo (S/.35) pero van a partir de las 2pm o puedes contratar un taxi que te lleva mas temprano, espera 2 horas y te regresa. Sale a cuenta si son 4 o 5.(S/.100). Si deseas hay guías, debes llevar una buena cámara de fotos porque las vistas de las chullpas y del Lago Umayo son espectaculares. Llevar gorro, lentes y ponerse bloqueador, el sol es fuerte. Con dos horas es suficiente. Llegué a la 1 y a las 3 nos retiramos justo cuando llegaban las vans con turistas y junto con ellos la lluvia luego de gozar de un inclemente. No perderse esta visita."
5,1 marzo 2017,Grandes tumbas y una vista excelente,"Ten a mano tu chalina, una buena casaca para el frío y tu cámara. Es un gran lugar para conocer esta zona de tumbas. Con muy bonita vista. Recomiendo asegurar que el tour tenga una guía para que te explique la zona. Generalmente el pasaje del tour incluye la el pago para ingresar. Si te olvidaste de los guantes o una polera para el frío, al ingresar hay algunos puestos que venden estos imprescindibles para el frío. Tambien hay un baño en una casa al inicio donde pagas un sol para poder usarlo.Si estas en Puno debes ir a conocer esta hermosa zona."
5,24 febrero 2017,Hermoso Paisaje,"Este sitio es una cerro el cual se recorre a Pie , el camino es breve pero un poco duro por la altura pero recompensado por un Hermoso Espectáculo, desde las altura y en medio de las Chullpas (despensas hecha en piedra similares a las torres de ajedrez de 25 a 20 metros) pueden ver una laguna hermosa que domina toda esa zona"
5,24 febrero 2017,Hermoso,"Si vas a Puno debes visitar Sillustani. La tracción está a poco tiempo de la ciudad, hay que caminar un poco para llegar a la sima así que hay que hacerlo con calma en especial si no estas acostumbrado a la altura. Es un sitio bastante espiritual y tienes una hermosa vista cuando llegar arriba."
5,20 febrero 2017,Hermoso,Este lugar es el que más me gustó de puno El Mirador sillustani Es hermoso las chullpas increíbles cuando vayan a puno no dejen de visitar este lugar es Hermosísimo👍
5,17 febrero 2017,Beautiful Chullpas de Sillustani,"Realize mi visita partiendo de la ciudad de Puno. Mi intencion fue visitar las Chullpas en un tour guiado (40 a 45 soles), sin embargo todos los tours que pregunte salian pir la tarde asi que decidi hacerlo por mi cuenta.Preguntando me indicaron que los buses con destino a Juliaca los iba a encontrar en la Av. Floral. Pague 2 soles por el pasaje y le dije al cobrador que me deje en el desvio a Sillustani (que es de 20 a 30 mins de viaje).Una vez en el desvio hay taxi colectivo disponibles para Sillustani. Me cobraron 4 soles por llevarme. La entrada esta 15 soles. La pase super bien, como fui son guia pase algo de 5 horas en Sillustani, caminando por las Chullpas y los impresionantes paisajes, lagos que se encuentran alrededor de el"
4,15 febrero 2017,Increible,Mi esposo y yo visitamos sillustani por la tarde con ganas de ver el atardecer. Creo que hay que tener suerte si lo visitas en este horario porque puede que te pase como a nosotros que llegamos a hacer la mitad del recorrido con un sol radiante y luego una nube negra invadió toda la zona. La caminata para llegar a la zona más alta no es tan complicada como taquile pero si es recomendable y con zapatos antideslizantes porque el camino es muy resbaladizo.
4,12 febrero 2017,Hermoso,Tiene una vista hermoso pude ir muy temprano sake fotos a la meseta del collao hay guias si lo solicitas te cuesta 30 soles hay comida pero tienes ke ir muy abrigado vorre viento.
5,7 febrero 2017,Paisajes,"Muy bonitos paisajes, relativamente cerca de puno. El tour se puede hacer en medio di y los precios van desde 35 a 50 por persona. Dentro del complejo, se explica la historia del lugar y la influencia de culturas (incluso inca), salen fotos muy buenas .Dependiendo de la.empresa hacen una parada al retirarnos en una casa de pobladores de la zona y nos explican su dia a dia, es una buena experiencia."
5,3 febrero 2017,Imponentes chullpas,"Es un sitio arqueológico, a orillas del lago Umayo. Torres funerarias de la cultura Colla y Tiahuanaco."
5,23 enero 2017,Muy interesante.,"Un placer ir a este lugar turístico e histórico, limpio, ordenado y un maravilloso espectáculo que da la naturaleza con el paisaje del Altiplano y el lago."
4,22 enero 2017,Sillustani,El paisaje es hermoso las fotos salen increíbles .Conocer las cultura de los preincas .Un lugar fascinante en medio del lago .
4,22 enero 2017,Interesante visita a monumentos funerarios,Visita obligada en el trayecto Juliaca Puno. Permite conocer costumbres funerarias de los pueblos que habitaron el lugar.
5,17 enero 2017,Sueño cumplido.,"Llegué al lugar en una movilidad particular contratada. La lluvia casi nos impidió el recorrido por el lugar. Con la ayuda divina y de los ancestros, el clima mejoró y pudimos visitar este lugar que nos deja sorprendidos y maravillados. La laguna de Umayo, que también se contempla desde el lugar, es hermosa, magnífica, te recarga positivamente. Fuimos un día lunes (enero) , con poca afluencia de público. Ello nos permitió tomarnos fotos con la mayor comodidad. Mi sueño cumplido."
5,16 enero 2017,impresionante,cuando escuche de este lugar no lo podía creer y cuando fui quede impactada fue como un viaje al pasado las chullpas hechas de pura piedra recomendado
5,7 enero 2017,ZONA ARQUELOGICA DE SILLUSTANI,Impresionante visita a la zona arqueológica de Sillustani a 40 minutos de Puno por vía terrestre. Los Collas y los Incas dos pueblos guerreros que se unieron para preservar sus formas de inmortalizar a sus personajes.
5,6 enero 2017,Una parte de nuestra cultura,"Silluscani es un lugar funerario de distintas culturas peruanas preincas. Acá es donde los incas aprendieron a tallar la piedra, técnica que luego llevaron a Cusco."
5,5 enero 2017,Perfecta sintonía entre arqueología y naturaleza,Si vienes desde el aeropuerto de Juliaca puedes coger un bus económico dirección a Puni e indicarle al chofer que te deje en el acceso al Sillustani. Ahi mismo hay colectivos que te llevan hasta las ruinas. Nuestra experiencia fue muy positiva ya que llegamos solos y en el sitio nos encontramos con un par de turistas. La subida al cerro es muy suave pero si no estás acostumbrado a la altura te puede afectar. En la cima encontrarás los enterramientos en formas de torres muy bien tratatadas aunque quedan algunas en fase de destrucción pero con su correspondiente manteniento por parte de las entidades. El lugar está bien indicado y hay carteles que explican bien la historia del sitio. En definitiva muy recomendable.
4,5 enero 2017,"Paisajes llenos de historia, perfecto para los amantes de fotos","Ubicado a media hora del pueblo de Puno, puedes tomar el tour en el Jr. Puno en alguna agencia esta S/. 50 aproximado, al llegar encontrarás unas chulpas (torres donde enterraban sus muertos) perteneció a la cultura Pucara, collas e inca. Lo más atractivo del lugar a parte de estar rodeado de historia es el increíble paisaje que tiene de la península, el reflejo del sol en el lago te dará el paisaje perfecto para tomar miles de fotos, vale totalmente la pena conocer."
4,28 diciembre 2016,Ruinas y lugar de entierro,"Son unas ruinas con estructuras pre incas e incas donde se enterraron a varias personas
El lugar está a unas 20 minutos de Puño lago titikaka
Para ver los monumentos hay que caminar unos 15 minutos"
2,25 diciembre 2016,Caro,"Tristes porque mi papá quiso conocer este lugar desde que iniciamos el viaje pero no pudimos ingresar porque la entrada para adulto peruano estaba S/.40.00, no se oye tan mal cuando es solo una persona pero nosotros éramos varios y nos pareció la entrada más cara de todo el Tour incluyendo Cusco que de por sí es un atractivo caro pero la entrada a Machu Picchu estaba S/.32.00 para estudiantes es decir más económico. Otro motivo fue la distancia, el carro lo teníamos que dejar bastante lejos y mis padres ya adultos no podían caminar tanto, así que nos fuimos decepcionados. He visitado antes este lugar y no se quien tomó estas malas decisiones pero para mí no mejoró si no todo lo contrario."
4,13 diciembre 2016,Santuario sagrado ,"Poder conocer nuestra historia, mirar al pasado y entender a nuestros ancestros, sillustani era un cementerio para la realeza, los enterraban en chulpas que median hasta 12 metros de altura, además podrás observar una hermosa laguna , comprar artesanía y sacar las mejores fotos."
5,10 diciembre 2016,Lindo lugar,"Si pasan por Puno recomiendo visiten este lugar, la vista a la laguna es espectacular!! solo que hace mucho frio"
